No.,user_id,display_name,team_count
147,"1247667408743698432","jas122",1
148,"922902646128791552","Jckstrw",1
149,"574058950039764992","JeffLowe1",1
150,"731048209337696256","JenyB",10
151,"327614483000217600","Jerryb83",5
152,"347489097394470912","jgray412",1
153,"575080704666939392","jhawker555",1
154,"693987342490337280","JimbosBimbos",65
155,"961088761436192768","JimmyWojo",27
156,"78947052125831168","JJmode69",1
157,"393505286960246784","Jmalone1187",3
158,"713561923001618432","jmarton33",1
159,"1018340556961128448","JMC27",1
160,"339218474402324480","jmhubbs",56
161,"437287267745132544","JMorris410",23
162,"736262373400276992","Joe__Joe_",91
163,"318410278712664064","JoeyS87",6
164,"868373448467046400","JohnLegz",23
165,"1129223330734698496","Jokairex",1
166,"741493677406478336","Jokerman0628",7
167,"1219636607267655680","JonquilBernies",2
168,"479048493571239936","joshjackass",1
169,"864972804888616960","jsav10",1
170,"721824118315507712","JT502",1
171,"728344069360705536","Juspel21",3
172,"865398356355227648","Justinontime",1
173,"727282154622488576","jvogt3391",1
174,"819956162047905792","kasper78",10
175,"730147010107252736","kassadizzle98",1
176,"982824808322846720","kdawgodydog",49
177,"607357820291047424","kennyskaboombox",1
178,"874110736622899200","KentuckyFC",1
179,"997901976706850816","KevinRossetti55",4
180,"692059896048320512","Kevyb91",9
181,"1153115161734168576","KILL3RTATAY",1
182,"733139539576631296","king2tiger",1
183,"963287286077046784","KingJewdy",1
184,"429973710330396672","KingYenko",2
185,"886842205581623296","kkansbd",1
186,"467460921925562368","kodabear",32
187,"318077181102145536","KPage1",1
188,"1022024240217993216","kpchang",1
189,"101377496016371712","kros24",16
190,"1244406222891790336","kylethekiller",3
191,"471015106977722368","LatarianMilton",1
192,"987517308400685056","LawDawg01",3
193,"674692521187704832","LEFTNUT8",1
194,"990484271661895680","LFG1298",2
195,"335382702465220608","LGudie",1
196,"865656297960361984","LifesABeach420",6
197,"471058602887475200","likeeAbbas",1
198,"848321848465784832","LittleSaintPea",1
199,"516106676294520832","lovetohateme",1
